public_gene_name,p-value
dyf-14,0.802317978
F26C11.3,0.803623294
hum-4,0.804141754
wrm-1,0.806005399
par-3,0.806076027
R09H10.5,0.806076027
C08H9.2,0.808324427
Y66D12A.14,0.808424345
tag-315,0.808625305
unc-71,0.81146229
gfi-3,0.815192424
C25A8.4,0.817186262
rsr-1,0.817655838
ocr-2,0.817655838
R05H10.2,0.817788143
Y39B6A.30,0.817788143
tep-1,0.821844667
mec-1,0.822774237
cpsf-2,0.82681279
mup-4,0.82842433
col-99,0.828434281
F32B4.8,0.828731297
H10E21.5,0.828752548
ptp-1,0.829441597
unc-103,0.830408848
viln-1,0.831365503
glr-5,0.832602434
F16B4.3,0.832604988
drag-1,0.832604988
frm-1,0.83390828
gld-3,0.840082389
cdtl-7,0.840082389
chtl-1,0.840082389
ptr-24,0.840082389
clec-21,0.84070275
F52C12.4,0.840786316
F30H5.3,0.84131854
klp-12,0.845241595
tps-1,0.845654987
F33H2.5,0.84715843
pod-2,0.84715843
K04H4.2,0.848138463
T07C12.12,0.848661622
mpz-1,0.848694965
mlk-1,0.848926504
eat-3,0.849409568
shc-2,0.853414898
rig-1,0.85411686
Y48G8AL.1,0.85411686
pro-2,0.857860194
F46H5.3,0.857860194
R155.2,0.857860194
ZK632.7,0.857860194
F16B12.6,0.858308007
F40E12.2,0.860747586
T07C4.10,0.863198744
T25C12.3,0.863198744
npp-3,0.865389221
npp-14,0.865664525
C05C8.8,0.866128653
C35A5.4,0.866128653
daf-21,0.866128653
pst-1,0.866128653
lst-2,0.866128653
T13C2.6,0.866128653
Y53F4B.9,0.866128653
tag-341,0.866128653
C50B6.7,0.867659795
pyr-1,0.867659795
W05F2.4,0.867680959
cbp-1,0.869991783
rig-4,0.870206537
acdh-12,0.870699588
epi-1,0.87137706
ZK430.5,0.87146349
chs-2,0.872512022
C04E6.11,0.872743524
T19A5.1,0.873358497
K02C4.3,0.874205529
R07E3.6,0.874205529
T07C12.8,0.874205529
Y6B3B.3,0.874205529
F32A7.5,0.874807816
unc-41,0.874807816
F09E5.2,0.874807816
mtk-1,0.874807816
toe-1,0.877088112
toca-2,0.877447727
unc-84,0.877547427
unc-40,0.877574894
egl-27,0.881966487
nhl-1,0.881966487
B0303.4,0.882081636
C11E4.6,0.882081636
saps-1,0.882081636
ttll-5,0.882081636
F25G6.1,0.882081636
usp-48,0.882081636
F35B3.7,0.882081636
F52G3.3,0.882081636
F54C4.3,0.882081636
F54D8.6,0.882081636
F56C9.3,0.882081636
mca-1,0.882081636
cutl-24,0.882081636
spat-2,0.882081636
Y76A2B.2,0.882081636
pgp-3,0.88529374
osm-7,0.885779819
D2045.2,0.887434646
ain-2,0.887786728
F57C7.4,0.888422569
utx-1,0.888805797
csr-1,0.888805797
F36G3.1,0.888805797
cid-1,0.888805797
tol-1,0.889834339
mec-4,0.889834339
eel-1,0.891138617
rskd-1,0.895461999
M151.2,0.895461999
ppk-3,0.895461999
cha-1,0.895461999
unc-17,0.895461999
C08B11.3,0.896276656
ZC376.6,0.896276656
dop-5,0.896276656
gon-2,0.897427712
mes-1,0.897427712
F14E5.2,0.900035626
C13F10.4,0.90114534
pgp-12,0.901473013
F52B5.3,0.901473013
eea-1,0.901929561
pad-1,0.902628922
K02D10.1,0.903525849
ZK484.4,0.903525849
F22E12.1,0.903899631
npp-6,0.904189034
